"PKEY","BOID","METABO","LASTUPDATE","PROCESSID","ROWCOMMENT","CREATED","CREATEDUSER","REPLACED","REPLACEDUSER","GUELTAB","GUELTBIS","ITSTARIFGRPPARENT","ITSTARIFGRPCHILD","EINAUSSCHLUSS","TIMESEG","ARCHIVETAG","MDBID"
64,"64",-1084,2014-01-16 15:45:09.406397000,"B.108","",2014-01-16 15:45:09.406397000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"134","131","-62356",2014-01-16,"",""
65,"65",-1084,2014-01-16 15:45:09.406397000,"B.108","",2014-01-16 15:45:09.406397000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"134","132","-62356",2014-01-16,"",""
66,"66",-1084,2014-01-16 15:45:09.406397000,"B.108","",2014-01-16 15:45:09.406397000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"134","133","-62356",2014-01-16,"",""
67,"67",-1084,2014-01-16 15:45:10.152499000,"B.108","",2014-01-16 15:45:10.152499000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"81","79","-62356",2014-01-16,"",""
68,"68",-1084,2014-01-16 15:45:10.152499000,"B.108","",2014-01-16 15:45:10.152499000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"81","80","-62356",2014-01-16,"",""
69,"69",-1084,2014-01-16 15:45:10.252154000,"B.108","",2014-01-16 15:45:10.252154000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"93","91","-62356",2014-01-16,"",""
70,"70",-1084,2014-01-16 15:45:10.252154000,"B.108","",2014-01-16 15:45:10.252154000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"93","92","-62356",2014-01-16,"",""
71,"71",-1084,2014-01-16 15:45:10.542314000,"B.108","",2014-01-16 15:45:10.542314000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"54","49","-62356",2014-01-16,"",""
72,"72",-1084,2014-01-16 15:45:10.542314000,"B.108","",2014-01-16 15:45:10.542314000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"54","50","-62356",2014-01-16,"",""
73,"73",-1084,2014-01-16 15:45:10.542314000,"B.108","",2014-01-16 15:45:10.542314000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"54","51","-62356",2014-01-16,"",""
74,"74",-1084,2014-01-16 15:45:10.542314000,"B.108","",2014-01-16 15:45:10.542314000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"54","52","-62356",2014-01-16,"",""
75,"75",-1084,2014-01-16 15:45:10.542314000,"B.108","",2014-01-16 15:45:10.542314000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"54","53","-62356",2014-01-16,"",""
76,"76",-1084,2014-01-16 15:45:10.683474000,"B.108","",2014-01-16 15:45:10.683474000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"26","24","-62356",2014-01-16,"",""
