"PKEY","BOID","METABO","LASTUPDATE","PROCESSID","ROWCOMMENT","CREATED","CREATEDUSER","REPLACED","REPLACEDUSER","ITSCODE","ITSCODEKOPF","SEQUENCE","CODEVISIBLE","COMPAREVALUE","TIMESEG","ARCHIVETAG","MDBID"
102,"102",-11,2014-01-21 11:15:56.645982000,"P.-254007","",2014-01-21 11:15:56.645982000,"CHaegele",3000-01-01 00:00:00.000000000,"","102","-50286",512,0,999,2014-01-21,"",""
3702,"3562",-11,2015-06-03 12:49:35.852257000,"P.-254007","",2015-06-03 12:49:35.852257000,"PMueller",3000-01-01 00:00:00.000000000,"","3482","561",20,0,999,3000-01-01,"",""
5472,"5392",-11,2015-11-12 22:39:50.949807000,"P.-254007","",2015-11-12 22:39:50.949807000,"PMueller",3000-01-01 00:00:00.000000000,"","5252","-11024",40,0,999,3000-01-01,"",""
5473,"5393",-11,2015-11-12 22:39:50.949807000,"P.-254007","",2015-11-12 22:39:50.949807000,"PMueller",3000-01-01 00:00:00.000000000,"","5253","-11024",50,0,999,3000-01-01,"",""
103,"103",-11,2014-01-21 11:15:56.645982000,"P.-254007","",2014-01-21 11:15:56.645982000,"CHaegele",3000-01-01 00:00:00.000000000,"","103","-50286",519,0,999,2014-01-21,"",""
3703,"3563",-11,2015-06-03 12:49:35.852257000,"P.-254007","",2015-06-03 12:49:35.852257000,"PMueller",3000-01-01 00:00:00.000000000,"","3483","561",30,0,999,3000-01-01,"",""
6161,"6041",-11,2016-02-03 14:09:26.037327000,"P.-253746","",2016-02-03 14:09:26.037327000,"VTricarico",3000-01-01 00:00:00.000000000,"","5781","1341",40,0,40,3000-01-01,"",""
6162,"6042",-11,2016-02-03 14:09:26.037327000,"P.-253746","",2016-02-03 14:09:26.037327000,"VTricarico",3000-01-01 00:00:00.000000000,"","-65098","1341",0,0,0,3000-01-01,"",""
6163,"6043",-11,2016-02-03 14:09:26.037327000,"P.-253746","",2016-02-03 14:09:26.037327000,"VTricarico",3000-01-01 00:00:00.000000000,"","-65097","1341",10,0,10,3000-01-01,"",""
6164,"6044",-11,2016-02-03 14:09:26.037327000,"P.-253746","",2016-02-03 14:09:26.037327000,"VTricarico",3000-01-01 00:00:00.000000000,"","-65096","1341",20,0,20,3000-01-01,"",""
6165,"6045",-11,2016-02-03 14:09:26.037327000,"P.-253746","",2016-02-03 14:09:26.037327000,"VTricarico",3000-01-01 00:00:00.000000000,"","-65099","1341",30,0,30,3000-01-01,"",""
105,"105",-11,2014-01-21 11:15:56.645982000,"P.-254007","",2014-01-21 11:15:56.645982000,"CHaegele",3000-01-01 00:00:00.000000000,"","105","-50286",530,0,999,2014-01-21,"",""
2141,"2037",-11,2014-02-26 10:43:58.803035000,"P.-254007","",2014-02-26 10:43:58.803035000,"PMueller",3000-01-01 00:00:00.000000000,"","2021","133",10,0,999,2014-02-26,"",""
2142,"2038",-11,2014-02-26 10:44:06.703721000,"P.-254007","",2014-02-26 10:44:06.703721000,"PMueller",3000-01-01 00:00:00.000000000,"","2022","134",10,0,999,2014-02-26,"",""
2143,"2039",-11,2014-02-26 10:44:06.703721000,"P.-254007","",2014-02-26 10:44:06.703721000,"PMueller",3000-01-01 00:00:00.000000000,"","2023","134",20,0,999,2014-02-26,"",""
