"PKEY","BOID","METABO","LASTUPDATE","PROCESSID","ROWCOMMENT","CREATED","CREATEDUSER","REPLACED","REPLACEDUSER","KURZBEZDT","BEZEICHNUNGDT","KURZBEZEN","BEZEICHNUNGEN","KURZBEZFR","BEZEICHNUNGFR","KURZBEZIT","BEZEICHNUNGIT","KURZBEZ05","BEZEICHNUNG05","KURZBEZ06","BEZEICHNUNG06","KURZBEZ07","BEZEICHNUNG07","KURZBEZ08","BEZEICHNUNG08","KURZBEZ09","BEZEICHNUNG09","KURZBEZ10","BEZEICHNUNG10","INTERNALNAME","SYSTEM_","ITSCOKOKATEGORIE","TIMESEG","ARCHIVETAG","MDBID"
2124,"1864",-9,2016-05-08 16:20:24.063502000,"P.-123901","",2016-05-08 16:20:24.063502000,"PMueller",3000-01-01 00:00:00.000000000,"","VKLED","LED-Leuchten","VKLED","LED-Leuchten","VKLED","LED-Leuchten","VKLED","LED-Leuchten","","","","","","","","","","","","","CT_MFVK_LED","0","",3000-01-01,"",""
1961,"1701",-9,2016-04-30 09:38:10.845016000,"P.-123901","",2016-04-30 09:38:10.845016000,"PMueller",3000-01-01 00:00:00.000000000,"","SBBH","Selbstbehalt Betriebshaftpflicht","SBBH","Selbstbehalt Betriebshaftpflicht","SBBH","Selbstbehalt Betriebshaftpflicht","SBBH","Selbstbehalt Betriebshaftpflicht","","","","","","","","","","","","","CT_KMU_BH_SB","0","",3000-01-01,"",""
503,"503",-9,2015-01-20 14:21:30.351592000,"P.-123901","",2015-01-20 14:21:30.351592000,"FPFannes",3000-01-01 00:00:00.000000000,"","DECK","Deckungstyp","DECK","Deckungstyp","DECK","Deckungstyp","DECK","Deckungstyp","","","","","","","","","","","","","CT_DECKUNGSTYP","0","",3000-01-01,"",""
805,"707",-9,2015-07-22 21:16:08.376247000,"P.-254007","",2015-07-22 21:16:08.376247000,"PMueller",3000-01-01 00:00:00.000000000,"","U_FAKA","Unfall Fallart Kategorie","U_FAKA","Unfall Fallart Kategorie","U_FAKA","Unfall Fallart Kategorie","U_FAKA","Unfall Fallart Kategorie","","","","","","","","","","","","","CT_U_FAKA","0","",3000-01-01,"",""
1701,"1441",-9,2016-03-21 10:24:40.751310000,"P.-123901","",2016-03-21 10:24:40.751310000,"PMueller",3000-01-01 00:00:00.000000000,"","MTR","Mehrtierrabatt (familienübergreifend)","MTR","Mehrtierrabatt (familienübergreifend)","MTR","Mehrtierrabatt (familienübergreifend)","MTR","Mehrtierrabatt (familienübergreifend)","","","","","","","","","","","","","CT_MTW_MEHRTIERRABATT","0","",3000-01-01,"",""
1861,"1601",-9,2016-04-26 14:38:17.474801000,"P.-123901","",2016-04-26 14:38:17.474801000,"PMueller",3000-01-01 00:00:00.000000000,"","JaePHV","Jäger-Deckung","JaePHV","Jäger-Deckung","JaePHV","Jäger-Deckung","JaePHV","Jäger-Deckung","","","","","","","","","","","","","CT_PHV_JAEGERDECKUNG","0","",3000-01-01,"",""
69,"68",-9,2014-02-12 18:17:09.625730000,"P.-207901","",2014-02-12 18:17:09.625730000,"JHensch",3000-01-01 00:00:00.000000000,"","UTI","Altersgruppe UTI","UTI","Altersgruppe UTI","UTI","Altersgruppe UTI","UTI","Altersgruppe UTI","","","","","","","","","","","","","CT_UTI_ALTERGRUPPE","0","",2014-02-12,"",""
70,"69",-9,2014-02-12 18:17:15.025672000,"P.-254007","",2014-02-12 18:17:15.025672000,"PMueller",3000-01-01 00:00:00.000000000,"","WK_VTG","Versichertes Taggeld","WK_VTG","Insured day money","WK_VTG","Indemnité journalière","WK_VTG","Indennità giornaliera","","","","","","","","","","","","","CT_SPTG_VTG","0","",2014-02-12,"",""
806,"708",-9,2015-07-22 21:16:11.769852000,"P.-254007","",2015-07-22 21:16:11.769852000,"PMueller",3000-01-01 00:00:00.000000000,"","U_KOSC","Unfall Körperschädigung SSUV","U_KOSC","Unfall Körperschädigung SSUV","U_KOSC","Unfall Körperschädigung SSUV","U_KOSC","Unfall Körperschädigung SSUV","","","","","","","","","","","","","CT_U_KOSC","0","",3000-01-01,"",""
807,"709",-9,2015-07-22 21:16:15.259772000,"P.-254007","",2015-07-22 21:16:15.259772000,"PMueller",3000-01-01 00:00:00.000000000,"","U_KOSE","Unfall Körperseite SSUV","U_KOSE","Unfall Körperseite SSUV","U_KOSE","Unfall Körperseite SSUV","U_KOSE","Unfall Körperseite SSUV","","","","","","","","","","","","","CT_U_KOSE","0","",3000-01-01,"",""
-50943,"-50943",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RgtMCP","Pfad-Mutationsprüfung","","","EXMUCH","Examen de la mutation chemin","VERMP","Verifica della modifica del percorso","","Pfad-Änderungsprüfung","","","","","","","","","","","RightsMutationCheckPath","1","",,"",""
-50821,"-50821",-9,1900-01-01 00:00:00.000000000,"CASU","",1900-01-01 00:00:00.000000000,"admin",3000-01-01 00:00:00.000000000,"","RgtRLT","Cache-Aktualisierungstyp","RgtRLT","Cache update type","TACC","Type d'actualisation du cache","RgtRLT","Genere di aggiornamento cache","","Cache-Aktualisierungstyp","","","","","","","","","","","RightsReloadType","1","",,"",""
