"PKEY","BOID","METABO","LASTUPDATE","PROCESSID","ROWCOMMENT","CREATED","BIZCREATED","CREATEDUSER","BIZUSER","REPLACED","REPLACEDUSER","GUELTAB","GUELTBIS","STATEFROM","STATEUPTO","STATEBEGIN","STATEEND","KURZBEZDT","BEZEICHNUNGDT","KURZBEZEN","BEZEICHNUNGEN","KURZBEZFR","BEZEICHNUNGFR","KURZBEZIT","BEZEICHNUNGIT","KURZBEZ05","BEZEICHNUNG05","KURZBEZ06","BEZEICHNUNG06","KURZBEZ07","BEZEICHNUNG07","KURZBEZ08","BEZEICHNUNG08","KURZBEZ09","BEZEICHNUNG09","KURZBEZ10","BEZEICHNUNG10","INTERNALNAME","AKTIV","TARIFGRUPPETYP","TARIFGRPERSTELLER","TARIFGRUPPEART","QUALIPRUEFMOEGL","CODE","BESCHREIBUNGDT","BESCHREIBUNGEN","BESCHREIBUNGFR","BESCHREIBUNGIT","BESCHREIBUNG05","BESCHREIBUNG06","BESCHREIBUNG07","BESCHREIBUNG08","BESCHREIBUNG09","BESCHREIBUNG10","LASTMUTATION","TAEL_ID","REGINTERNGENERELL","TIMESEG","ARCHIVETAG","MDBID"
27,"27",-1083,2014-01-16 15:41:48.154942000,"B.108","",2014-01-16 15:41:48.154942000,2014-01-16 15:41:48.154942000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"10.5","Stumpfaufbau","10.5","Stumpfaufbau","10.5","Moignon artificiel","10.5","Moignon artificiel","","","","","","","","","","","","","K_320_10.5","-10110","-49993","-63029","-62331","-10110","10.5","","","","","","","","","","",,7972944,"-62241",3000-01-01,"",""
28,"28",-1083,2014-01-16 15:41:48.216476000,"B.108","",2014-01-16 15:41:48.216476000,2014-01-16 15:41:48.216476000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"10.6","Zementieren","10.6","Zementieren","10.6","Scellement","10.6","Scellement","","","","","","","","","","","","","K_320_10.6","-10110","-49993","-63029","-62331","-10110","10.6","","","","","","","","","","",,7972945,"-62241",3000-01-01,"",""
29,"29",-1083,2014-01-16 15:41:48.289217000,"B.108","",2014-01-16 15:41:48.289217000,2014-01-16 15:41:48.289217000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"10.7","Allgemeine Leistungen","10.7","Allgemeine Leistungen","10.7","Prestations générales","10.7","Prestations générales","","","","","","","","","","","","","K_320_10.7","-10110","-49993","-63029","-62331","-10110","10.7","","","","","","","","","","",,7972946,"-62241",3000-01-01,"",""
30,"30",-1083,2014-01-16 15:41:48.346616000,"B.108","",2014-01-16 15:41:48.346616000,2014-01-16 15:41:48.346616000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"10.8","Reparaturen","10.8","Reparaturen","10.8","Réparations","10.8","Réparations","","","","","","","","","","","","","K_320_10.8","-10110","-49993","-63029","-62331","-10110","10.8","","","","","","","","","","",,7972947,"-62241",3000-01-01,"",""
31,"31",-1083,2014-01-16 15:41:48.408663000,"B.108","",2014-01-16 15:41:48.408663000,2014-01-16 15:41:48.408663000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"10","Kronen- und Brückenprothetik","10","Kronen- und Brückenprothetik","10","Couronnes et ponts","10","Couronnes et ponts","","","","","","","","","","","","","K_320_10","-10110","-49993","-63029","-62331","-10110","10","","","","","","","","","","",,7972948,"-62241",3000-01-01,"",""
32,"32",-1083,2014-01-16 15:41:48.476775000,"B.108","",2014-01-16 15:41:48.476775000,2014-01-16 15:41:48.476775000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"11.1","Kieferorthopädische Befundaufnahme und Behandlungsplanung","11.1","Kieferorthopädische Befundaufnahme und Behandlungsplanung","11.1","Diagnostic d'orthopédie dento-faciale et établissement d'un plan de traitement","11.1","Diagnostic d'orthopédie dento-faciale et établissement d'un plan de traitement","","","","","","","","","","","","","K_320_11.1","-10110","-49993","-63029","-62331","-10110","11.1","","","","","","","","","","",,7972949,"-62241",3000-01-01,"",""
33,"33",-1083,2014-01-16 15:41:48.550895000,"B.108","",2014-01-16 15:41:48.550895000,2014-01-16 15:41:48.550895000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"11.2","Abnehmbare Apparaturen","11.2","Abnehmbare Apparaturen","11.2","Appareils amovibles","11.2","Appareils amovibles","","","","","","","","","","","","","K_320_11.2","-10110","-49993","-63029","-62331","-10110","11.2","","","","","","","","","","",,7972950,"-62241",3000-01-01,"",""
34,"34",-1083,2014-01-16 15:41:48.648198000,"B.108","",2014-01-16 15:41:48.648198000,2014-01-16 15:41:48.648198000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"11.3","Festsitzende Apparaturen","11.3","Festsitzende Apparaturen","11.3","Appareils fixes","11.3","Appareils fixes","","","","","","","","","","","","","K_320_11.3","-10110","-49993","-63029","-62331","-10110","11.3","","","","","","","","","","",,7972951,"-62241",3000-01-01,"",""
35,"35",-1083,2014-01-16 15:41:48.722130000,"B.108","",2014-01-16 15:41:48.722130000,2014-01-16 15:41:48.722130000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"11.4","Kontrollen, Änderungen, Reparaturen","11.4","Kontrollen, Änderungen, Reparaturen","11.4","Contrôles, modifications, réparations","11.4","Contrôles, modifications, réparations","","","","","","","","","","","","","K_320_11.4","-10110","-49993","-63029","-62331","-10110","11.4","","","","","","","","","","",,7972952,"-62241",3000-01-01,"",""
36,"36",-1083,2014-01-16 15:41:48.781896000,"B.108","",2014-01-16 15:41:48.781896000,2014-01-16 15:41:48.781896000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"11.5","Kieferorthopädische Frühbehandlung bei LKG-Spalten","11.5","Kieferorthopädische Frühbehandlung bei LKG-Spalten","11.5","Traitement orthopédique précoce des fentes labio-maxillo-palatines","11.5","Traitement orthopédique précoce des fentes labio-maxillo-palatines","","","","","","","","","","","","","K_320_11.5","-10110","-49993","-63029","-62331","-10110","11.5","","","","","","","","","","",,7972953,"-62241",3000-01-01,"",""
37,"37",-1083,2014-01-16 15:41:48.837319000,"B.108","",2014-01-16 15:41:48.837319000,2014-01-16 15:41:48.837319000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"11.6","Operative Anschlingung eines retinierten Zahnes","11.6","Operative Anschlingung eines retinierten Zahnes","11.6","Cerclage chirurgical d'une dent incluse","11.6","Cerclage chirurgical d'une dent incluse","","","","","","","","","","","","","K_320_11.6","-10110","-49993","-63029","-62331","-10110","11.6","","","","","","","","","","",,7972954,"-62241",3000-01-01,"",""
38,"38",-1083,2014-01-16 15:41:48.894877000,"B.108","",2014-01-16 15:41:48.894877000,2014-01-16 15:41:48.894877000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"11","Kieferorthopädie","11","Kieferorthopädie","11","Orthopédie dento-faciale","11","Orthopédie dento-faciale","","","","","","","","","","","","","K_320_11","-10110","-49993","-63029","-62331","-10110","11","","","","","","","","","","",,7972955,"-62241",3000-01-01,"",""
39,"39",-1083,2014-01-16 15:41:48.946373000,"B.108","",2014-01-16 15:41:48.946373000,2014-01-16 15:41:48.946373000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"12.1","Assistenz bei Operationen","12.1","Assistenz bei Operationen","12.1","Assistance pendant les opérations","12.1","Assistance pendant les opérations","","","","","","","","","","","","","K_320_12.1","-10110","-49993","-63029","-62331","-10110","12.1","","","","","","","","","","",,7972956,"-62241",3000-01-01,"",""
40,"40",-1083,2014-01-16 15:41:48.995999000,"B.108","",2014-01-16 15:41:48.995999000,2014-01-16 15:41:48.995999000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"12.2","Unkostengebühren für Benützung des Operationssaales","12.2","Unkostengebühren für Benützung des Operationssaales","12.2","Frais et débours pour l'utilisation de la salle d'opération","12.2","Frais et débours pour l'utilisation de la salle d'opération","","","","","","","","","","","","","K_320_12.2","-10110","-49993","-63029","-62331","-10110","12.2","","","","","","","","","","",,7972957,"-62241",3000-01-01,"",""
41,"41",-1083,2014-01-16 15:41:49.047628000,"B.108","",2014-01-16 15:41:49.047628000,2014-01-16 15:41:49.047628000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"12.3","Bettenbenützung / Überwachung","12.3","Bettenbenützung / Überwachung","12.3","Utilisation de lits / surveillance","12.3","Utilisation de lits / surveillance","","","","","","","","","","","","","K_320_12.3","-10110","-49993","-63029","-62331","-10110","12.3","","","","","","","","","","",,7972958,"-62241",3000-01-01,"",""
42,"42",-1083,2014-01-16 15:41:49.101738000,"B.108","",2014-01-16 15:41:49.101738000,2014-01-16 15:41:49.101738000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"12","Assistenz und Unkostengebühren","12","Assistenz und Unkostengebühren","12","Assistance, débours et frais","12","Assistance, débours et frais","","","","","","","","","","","","","K_320_12","-10110","-49993","-63029","-62331","-10110","12","","","","","","","","","","",,7972959,"-62241",3000-01-01,"",""
43,"43",-1083,2014-01-16 15:41:49.175038000,"B.108","",2014-01-16 15:41:49.175038000,2014-01-16 15:41:49.175038000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"1","Allgemeine Leistungen","1","Allgemeine Leistungen","1","Prestations générales","1","Prestations générales","","","","","","","","","","","","","K_320_1","-10110","-49993","-63029","-62331","-10110","1","","","","","","","","","","",,7972960,"-62241",3000-01-01,"",""
44,"44",-1083,2014-01-16 15:41:49.236249000,"B.108","",2014-01-16 15:41:49.236249000,2014-01-16 15:41:49.236249000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"2.1","Befundaufnahme, Mundhygiene, Beratung und Motivation","2.1","Befundaufnahme, Mundhygiene, Beratung und Motivation","2.1","Diagnostic, hygiène bucco-dentaire, conseils et motivation","2.1","Diagnostic, hygiène bucco-dentaire, conseils et motivation","","","","","","","","","","","","","K_320_2.1","-10110","-49993","-63029","-62331","-10110","2.1","","","","","","","","","","",,7972961,"-62241",3000-01-01,"",""
45,"45",-1083,2014-01-16 15:41:49.289404000,"B.108","",2014-01-16 15:41:49.289404000,2014-01-16 15:41:49.289404000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"2.2","Fluorprophylaxe","2.2","Fluorprophylaxe","2.2","Prophylaxie par fluoration","2.2","Prophylaxie par fluoration","","","","","","","","","","","","","K_320_2.2","-10110","-49993","-63029","-62331","-10110","2.2","","","","","","","","","","",,7972962,"-62241",3000-01-01,"",""
46,"46",-1083,2014-01-16 15:41:49.343264000,"B.108","",2014-01-16 15:41:49.343264000,2014-01-16 15:41:49.343264000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"2.3","Behandlung durch Dentalhygienikerin / Prophylaxeassistentin","2.3","Behandlung durch Dentalhygienikerin / Prophylaxeassistentin","2.3","Traitement par l'hygiéniste dentaire/ l'assistante en prophylaxie","2.3","Traitement par l'hygiéniste dentaire/ l'assistante en prophylaxie","","","","","","","","","","","","","K_320_2.3","-10110","-49993","-63029","-62331","-10110","2.3","","","","","","","","","","",,7972963,"-62241",3000-01-01,"",""
47,"47",-1083,2014-01-16 15:41:49.426178000,"B.108","",2014-01-16 15:41:49.426178000,2014-01-16 15:41:49.426178000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"2.4","Gruppenprophylaxe","2.4","Gruppenprophylaxe","2.4","Prophylaxie de groupe","2.4","Prophylaxie de groupe","","","","","","","","","","","","","K_320_2.4","-10110","-49993","-63029","-62331","-10110","2.4","","","","","","","","","","",,7972964,"-62241",3000-01-01,"",""
48,"48",-1083,2014-01-16 15:41:49.482634000,"B.108","",2014-01-16 15:41:49.482634000,2014-01-16 15:41:49.482634000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"2","Mundhygiene, Prophylaxe","2","Mundhygiene, Prophylaxe","2","Hygiène bucco-dentaire, prophylaxie","2","Hygiène bucco-dentaire, prophylaxie","","","","","","","","","","","","","K_320_2","-10110","-49993","-63029","-62331","-10110","2","","","","","","","","","","",,7972965,"-62241",3000-01-01,"",""
49,"49",-1083,2014-01-16 15:41:49.540234000,"B.108","",2014-01-16 15:41:49.540234000,2014-01-16 15:41:49.540234000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"3.1","Parodontale Befundaufnahme","3.1","Parodontale Befundaufnahme","3.1","Examen de l'état parodontal","3.1","Examen de l'état parodontal","","","","","","","","","","","","","K_320_3.1","-10110","-49993","-63029","-62331","-10110","3.1","","","","","","","","","","",,7972966,"-62241",3000-01-01,"",""
50,"50",-1083,2014-01-16 15:41:49.598868000,"B.108","",2014-01-16 15:41:49.598868000,2014-01-16 15:41:49.598868000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"3.2","Konservative Parodontaltherapie","3.2","Konservative Parodontaltherapie","3.2","Traitement parodontal conservateur","3.2","Traitement parodontal conservateur","","","","","","","","","","","","","K_320_3.2","-10110","-49993","-63029","-62331","-10110","3.2","","","","","","","","","","",,7972967,"-62241",3000-01-01,"",""
51,"51",-1083,2014-01-16 15:41:49.672108000,"B.108","",2014-01-16 15:41:49.672108000,2014-01-16 15:41:49.672108000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"3.3","Chirurgische Parodontaltherapie","3.3","Chirurgische Parodontaltherapie","3.3","Traitement parodontal chirurgical","3.3","Traitement parodontal chirurgical","","","","","","","","","","","","","K_320_3.3","-10110","-49993","-63029","-62331","-10110","3.3","","","","","","","","","","",,7972968,"-62241",3000-01-01,"",""
52,"52",-1083,2014-01-16 15:41:49.728415000,"B.108","",2014-01-16 15:41:49.728415000,2014-01-16 15:41:49.728415000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"3.4","Parodontale Schienung","3.4","Parodontale Schienung","3.4","Attelles parodontales","3.4","Attelles parodontales","","","","","","","","","","","","","K_320_3.4","-10110","-49993","-63029","-62331","-10110","3.4","","","","","","","","","","",,7972969,"-62241",3000-01-01,"",""
53,"53",-1083,2014-01-16 15:41:49.782744000,"B.108","",2014-01-16 15:41:49.782744000,2014-01-16 15:41:49.782744000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"3.5","Zahnfleischepithese","3.5","Zahnfleischepithese","3.5","Epithèse gingivale","3.5","Epithèse gingivale","","","","","","","","","","","","","K_320_3.5","-10110","-49993","-63029","-62331","-10110","3.5","","","","","","","","","","",,7972970,"-62241",3000-01-01,"",""
54,"54",-1083,2014-01-16 15:41:49.842337000,"B.108","",2014-01-16 15:41:49.842337000,2014-01-16 15:41:49.842337000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"3","Parodontologie","3","Parodontologie","3","Parodontologie","3","Parodontologie","","","","","","","","","","","","","K_320_3","-10110","-49993","-63029","-62331","-10110","3","","","","","","","","","","",,7972972,"-62241",3000-01-01,"",""
55,"55",-1083,2014-01-16 15:41:49.911469000,"B.108","",2014-01-16 15:41:49.911469000,2014-01-16 15:41:49.911469000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,2002-01-01,3000-01-01,1000-01-01,3000-01-01,"4.1","Befund","4.1","Befund","4.1","Examen","4.1","Examen","","","","","","","","","","","","","K_320_4.1","-10110","-49993","-63029","-62331","-10110","4.1","","","","","","","","","","",,7972973,"-62241",3000-01-01,"",""
