"PKEY","BOID","METABO","LASTUPDATE","PROCESSID","ROWCOMMENT","CREATED","BIZCREATED","CREATEDUSER","BIZUSER","REPLACED","REPLACEDUSER","GUELTAB","GUELTBIS","STATEFROM","STATEUPTO","STATEBEGIN","STATEEND","KURZBEZDT","BEZEICHNUNGDT","KURZBEZEN","BEZEICHNUNGEN","KURZBEZFR","BEZEICHNUNGFR","KURZBEZIT","BEZEICHNUNGIT","KURZBEZ05","BEZEICHNUNG05","KURZBEZ06","BEZEICHNUNG06","KURZBEZ07","BEZEICHNUNG07","KURZBEZ08","BEZEICHNUNG08","KURZBEZ09","BEZEICHNUNG09","KURZBEZ10","BEZEICHNUNG10","INTERNALNAME","AKTIV","TARIFDATENQUELLE","TARIFTAXPUNKTTYP","VERSION","LASTMUTATION","DELIVERYID","TAEL_ID","DRGLWOUTLINRSF1","DRGLWOUTLINRSF2","ITSANALOGIETARIF","SPALBRTETARZIF","TARIFTEXTMAPPING","ITSKOGUZEITRMENHT","TIMESEG","ARCHIVETAG","MDBID","ANALOGIEZIFFERATTR"
121,"-2",-608,2016-07-23 10:18:29.214307000,"B.642","",2014-05-14 13:34:02.426770000,2014-05-14 13:34:02.426770000,"SWangler","SWangler",2016-07-23 10:18:29.214307000,"FStofer",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","","","","","","","","","","","","","400","-10110","-53801","-53853","",,1520,6024341,,,"",0,"","",3000-01-01,"","",""
22,"22",-608,2014-03-10 10:56:53.111126000,"B.381","",2014-03-10 10:36:11.207876000,2014-03-10 10:36:11.207876000,"CHaegele","CHaegele",2014-03-10 10:56:53.111126000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"012","Tarif für stationäre Leistungen nach OKP","012","Tarif für stationäre Leistungen nach OKP","012","Tarif für stationäre Leistungen nach OKP","012","Tarif für stationäre Leistungen nach OKP","","","","","","","","","","","","","012","-10110","-53800","-53853","",,,,,,"",0,"","",3000-01-01,"","",""
7,"-3",-608,2014-01-16 15:23:02.853705000,"P.-31002","",2014-01-16 15:21:35.077182000,2014-01-16 15:21:35.077182000,"CHaegele","CHaegele",2014-01-16 15:23:02.853705000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"452","MiGeL: ab 2001 (Mittel und Gegenstände Liste)","452","MiGeL: ab 2001 (Mittel und Gegenstände Liste)","452","MiGeL: ab 2001 (Mittel und Gegenstände Liste)","452","MiGeL: ab 2001 (Mittel und Gegenstände Liste)","","","","","","","","","","","","","452","-10110","-53801","-53853","",,1506,7483302,,,"",13,"","",3000-01-01,"","",""
8,"1",-608,2014-01-16 15:38:57.368348000,"P.-31002","",2014-01-16 15:22:07.832932000,2014-01-16 15:22:07.832932000,"CHaegele","CHaegele",2014-01-16 15:38:57.368348000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"553","Tarif für ambulante physiotherapeutische Leistungen in Spitälern (H+)","553","Tarif für ambulante physiotherapeutische Leistungen in Spitälern (H+)","553","Tarif für ambulante physiotherapeutische Leistungen in Spitälern (H+)","553","Tarif für ambulante physiotherapeutische Leistungen in Spitälern (H+)","","","","","","","","","","","","","553","-10110","-53801","-62839","",,,5009958,,,"",0,"","-50612",3000-01-01,"","",""
9,"-2",-608,2014-05-06 10:11:26.515353000,"P.-31002","",2014-01-16 15:22:55.153513000,2014-01-16 15:22:55.153513000,"CHaegele","CHaegele",2014-05-06 10:11:26.515353000,"SWangler",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","400","Medikamenten-Katalog ,Abrechnungsziffer: Pharmacode","","","","","","","","","","","","","400","-10110","-53801","-53853","",,,6024341,,,"",0,"","",3000-01-01,"","",""
10,"-3",-608,2014-01-16 15:37:13.535078000,"P.-31002","",2014-01-16 15:23:02.853705000,2014-01-16 15:23:02.853705000,"CHaegele","CHaegele",2014-01-16 15:37:13.535078000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"452","MiGeL: ab 2001 (Mittel und Gegenstände Liste)","452","MiGeL: ab 2001 (Mittel und Gegenstände Liste)","452","MiGeL: ab 2001 (Mittel und Gegenstände Liste)","452","MiGeL: ab 2001 (Mittel und Gegenstände Liste)","","","","","","","","","","","","","452","-10110","-53801","-53853","",,,7483302,,,"",13,"","",3000-01-01,"","",""
11,"3",-608,2014-01-16 15:34:57.554492000,"P.-31002","",2014-01-16 15:23:09.471091000,2014-01-16 15:23:09.471091000,"CHaegele","CHaegele",2014-01-16 15:34:57.554492000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"010","Swiss DRG","010","Swiss DRG","010","Swiss DRG","010","Swiss DRG","","","","","","","","","","","","","010","-10110","-53800","-62764","",,,8703200,2,0.75,"",0,"","",3000-01-01,"","",""
12,"-6",-608,2014-01-16 15:24:24.908263000,"P.-31002","",2014-01-16 15:23:19.013136000,2014-01-16 15:23:19.013136000,"CHaegele","CHaegele",2014-01-16 15:24:24.908263000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"001","Tarmed","001","Tarmed","001","Tarmed","001","Tarmed","","","","","","","","","","","","","001","-10110","-53801","-53852","",,,7929025,,,"",0,"","",3000-01-01,"","",""
-6,"-6",-608,2014-01-16 15:20:56.027697000,"CASU","",1900-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,"admin","admin",2014-01-16 15:20:56.027697000,"CHaegele",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"001","Tarmed","Tarm","Tarmed","TARMED","Tarmed","001","Tarmed","","","","","","","","","","","","","001","-10110","-53801","-53852","",,,,,,"",0,"","",3000-01-01,"","",""
141,"81",-608,2014-05-22 14:46:15.039445000,"P.-31001","",2014-05-22 14:46:15.039445000,2014-05-22 14:46:15.039445000,"CHaegele","CHaegele",3000-01-01 00:00:00.000000000,"",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"KOGU","Kostengutsprache Pseudotarif","KOGU","Kostengutsprache Pseudotarif","KOGU","Kostengutsprache Pseudotarif","KOGU","Kostengutsprache Pseudotarif","","","","","","","","","","","","","KOGU","-10110","-53800","-53853","",,,,,,"",10,"","-50612",3000-01-01,"","",""
